id,name,country
16063,Uldis,Latvia
16061,Teodors,Latvia
16060,Skaidris,Latvia
16059,Silvis,Latvia
16058,Silvestrs,Latvia
16057,Sebastians,Latvia
16056,Saulvedis,Latvia
16055,Sandis,Latvia
16054,Sandijs,Latvia
16053,Salvis,Latvia
16052,Ronalds,Latvia
16051,Rolands,Latvia
16050,Rolands,Latvia
16049,Rodrigo,Latvia
16048,Ritvars,Latvia
16047,Rinalds,Latvia
16046,Renārs,Latvia
16045,Reinis,Latvia
16044,Ralfs,Latvia
16043,Raivo,Latvia
16042,Raivo,Latvia
16041,Pēteris,Latvia
16040,Pēteris,Latvia
16039,Pāvels,Latvia
16038,Pauls,Latvia
16037,Otomārs,Latvia
16036,Oto,Latvia
16035,Oskars,Latvia
16034,Olafs,Latvia
16033,Ojārs,Latvia
16032,Norberts,Latvia
16031,Nils,Latvia
16030,Nils,Latvia
16029,Niks,Latvia
16028,Niklāvs,Latvia
16027,Nauris,Latvia
16026,Modris,Latvia
16025,Miķelis,Latvia
16024,Mikus,Latvia
16023,Mikss,Latvia
16022,Mārtiņš,Latvia
16021,Markuss,Latvia
16020,Māris,Latvia
16019,Māris,Latvia
16018,Mareks,Latvia
16017,Mareks,Latvia
16016,Mārcis,Latvia
16015,Mairis,Latvia
16014,Linards,Latvia
16013,Leons,Latvia
16012,Leonīds,Latvia
16011,Leo,Latvia
16010,Krišjānis,Latvia
16009,Kristiāns,Latvia
16008,Kristers,Latvia
16007,Kristaps,Latvia
16006,Kaspars,Latvia
16005,Kārlis,Latvia
16004,Kalvis,Latvia
16003,Juris,Latvia
16002,Jānis,Latvia
16001,Ivo,Latvia
16000,Ivars,Latvia
15999,Ints,Latvia
15998,Intars,Latvia
15997,Intars,Latvia
15996,Ingvars,Latvia
15995,Indulis,Latvia
15994,Ilvars,Latvia
15993,Ikars,Latvia
15992,Igors,Latvia
15991,Ignats,Latvia
15990,Helmārs,Latvia
15989,Guntis,Latvia
15988,Gatis,Latvia
15987,Francis,Latvia
15986,Everts,Latvia
15985,Ermins,Latvia
