id,surname,country
2,Ozols,latvia
3,Taube,latvia
4,Paegle,latvia
5,Zintis,latvia
6,Ošlejs,latvia
7,Krauklis,latvia
8,Meldre,latvia
9,Salna,latvia
10,Mints,latvia
11,Kalns,latvia
12,Zupiņš,latvia
13,Bindemanis,latvia
14,Vilnis,latvia
15,Vētra,latvia
16,Zibens,latvia
17,Sargs,latvia
18,Ozoliņš,latvia
19,Polis,latvia
20,Pāns,latvia
21,Koknesis,latvia
22,Ozoliņš,latvia
23,Polis,latvia
24,Pāns,latvia
25,Koknesis,latvia
26,Malahovskis,latvia
27,Bunka,latvia
28,Elksnis,latvia
29,Elsiņšs,latvia
30,Benuš,latvia
31,Gavars,latvia
32,Legzdiņš,latvia
33,Bergs,latvia
34,Ošlejs,latvia
35,Oškalns,latvia
36,Šķēle,latvia
37,Šlesers,latvia
38,Lapiņš,latvia
39,Galviņš,latvia
40,Sējejs,latvia
41,Daugaviņš,latvia
42,Vītols,latvia
43,Zivs,latvia
44,Lācis,latvia
45,Vilks,latvia
46,Ķēniņš,latvia
47,Kungs,latvia
48,Salna,latvia
49,Melnsils,latvia
50,Ziedonis,latvia
51,Brencāns,latvia
52,Siliņš,latvia
53,Ābele,latvia
54,Zālītis,latvia
55,Siltais,latvia
56,Aploks,latvia
57,Dunte,latvia
58,Dzerkalis,latvia
59,Priekulis,latvia
60,Kūlis,latvia
61,Plociņš,latvia
62,Krisbergs,latvia
63,Grigalis,latvia
64,Auziņš,latvia
65,Radelis,latvia
66,Cinks,latvia
67,Bertrups,latvia
68,Pinkainis,latvia
69,Metenis,latvia
70,Hitlers,latvia
71,Pučs,latvia
72,Baškevics,latvia
73,Skroderis,latvia
74,Sīlis,latvia
75,Lagzda,latvia
76,Arbidāns,latvia
77,Duberis,latvia
78,Savickis,latvia
79,Krītiņš,latvia
80,Miervaldis,latvia
81,Ķiploks,latvia
82,Sīpols,latvia
83,Kvēps,latvia
84,Kagainis,latvia
85,Simsons,latvia
86,Andersons,latvia
87,Lietvedis,latvia
88,Sotnieks,latvia
89,Krabis,latvia
90,Liepa,latvia
91,Kaņepis,latvia
92,Tūbelis,latvia
93,Jahovičs,latvia
94,Ūbele,latvia
95,Tupenis,latvia
96,Cauna,latvia
97,Vilks,latvia
98,Lapsa,latvia
99,Korps,latvia
100,Volfs,latvia
101,Plaudis,latvia
102,Delveris,latvia
103,Vartiņš,latvia
104,Dāle,latvia
105,Zāle,latvia
106,Sarmis,latvia
107,Putraims,latvia
108,Urtāns,latvia
109,Jūgs,latvia
110,Jaunkalns,latvia
111,Pultraks,latvia
112,Helmanis,latvia
113,Koksne,latvia
114,Druva,latvia
115,Ceplis,latvia
116,Cepums,latvia
117,Riekstiņš,latvia
118,Aas,Sweden
119,Aasen,Sweden
120,Aberg,Sweden
121,Abrahamsen,Sweden
122,Adalsteinn,Sweden
123,Adlercreutz,Sweden
124,Adlersparre,Sweden
125,Adolfson,Sweden
126,Adolfsson,Sweden
127,Agardh,Sweden
128,Ahlquist,Sweden
129,Ahlstad,Sweden
130,Ake,Sweden
131,Åkerstedt,Sweden
132,Akraka,Sweden
133,Alenius,Sweden
134,Alexandersson,Sweden
135,Alfven,Sweden
136,Almgren,Sweden
137,Almquis,Sweden
138,Almquist,Sweden
139,Alsvik,Sweden
140,Amdahl,Sweden
141,Amundsen,Sweden
142,Anckarström,Sweden
143,Anderberg,Sweden
144,Andersen,Sweden
145,Andersson,Sweden
146,Andreassen,Sweden
147,Andreasson,Sweden
148,Andrén,Sweden
149,Andresen,Sweden
150,Anglert,Sweden
151,Angstrom,Sweden
152,Antonsen,Sweden
153,Apell,Sweden
154,Arbman,Sweden
155,Armfelt,Sweden
156,Arnesen,Sweden
157,Arnfeldt,Sweden
158,Aslin,Sweden
159,Aspelin,Sweden
160,Assar,Sweden
161,Asther,Sweden
162,Aune,Sweden
163,Axelsson,Sweden
164,Backstedt,Sweden
165,Backstrom,Sweden
166,Bakke,Sweden
167,Bakken,Sweden
168,Barlund,Sweden
169,Baryard,Sweden
